76	KP	1529	10	1844	53	1617	105	1415	-8	-37	-8	-37	-13	-55	-10	-48	-3	-26	15	66	348	42	117	189	151	98	99	563	340	-13	-55
77	GA	1528	59	1594	94	1413	124	1304	12	42	5	22	10	26	-2	-14	4	-5	23	113	337	141	112	84	119	125	93	406	400	10	26
78	TT	1527	11	1672	57	1509	113	1309	9	34	7	28	8	20	23	89	2	-13	2	16	706	296	284	126	321	238	147	1214	883	8	20
79	KW	1523	28	1734	80	1478	137	1182	2	7	-7	-19	-9	-34	16	58	11	47	4	19	622	216	147	259	271	188	163	1004	686	-9	-34
80	JM	1522	38	1703	84	1389	136	1215	3	10	-3	-2	-2	3	-8	-38	-27	-100	-29	-105	559	232	208	119	214	215	130	736	742	-2	3
81	JO	1520	42	1673	118	1277	149	1093	-15	-53	-17	-61	-14	-52	8	34	14	60	-14	-59	398	147	130	121	130	159	109	454	506	-14	-52
82	NZ	1519	31	1652	62	1502	100	1349	-5	-17	-12	-25	-10	-31	-15	-57	1	-10	-4	-6	363	120	161	82	148	149	66	644	572	-10	-31
83	ZM	1514	30	1718	55	1573	106	1422	12	46	7	30	8	35	-21	-72	3	17	4	21	683	224	282	177	319	187	177	1118	692	8	35
84	IQ	1510	24	1753	49	1618	87	1498	-14	-51	-17	-60	-4	-7	-20	-70	-12	-48	-1	6	594	102	185	307	287	147	160	990	542	-4	-7
85	CA	1509	25	1735	46	1600	90	1488	-1	6	4	18	4	21	-23	-77	-29	-98	-16	-56	352	113	164	75	122	146	84	381	486	4	21
86	SV	1508	31	1610	67	1476	121	1337	-6	-13	-8	-11	-9	-16	-10	-29	-1	-8	15	99	542	173	162	207	184	242	116	720	838	-9	-16
87	CV	1505	76	1539	128	1259	149	1164	-11	-34	-4	0	-3	-5	16	77	30	138	24	138	145	47	54	44	49	64	32	143	176	-3	-5
88	EI	1502	14	1850	38	1654	111	1397	12	55	22	91	21	91	11	59	-22	-75	-6	-5	497	225	244	28	130	243	124	514	797	21	91
89	SA	1491	30	1729	77	1486	128	1239	-1	4	-1	-1	-13	-36	-4	-15	-46	-193	-21	-79	650	265	112	273	317	181	152	1032	693	-13	-36
90	LY	1483	41	1628	77	1484	126	1343	0	0	-4	-12	-19	-71	-21	-85	-3	-9	-20	-62	353	140	127	86	129	142	82	499	481	-19	-71
91	MK	1481	43	1637	74	1533	97	1443	-6	-19	-7	-22	-9	-33	-11	-48	-24	-95	-6	-19	193	87	87	19	54	89	50	215	268	-9	-33
91	UG	1481	28	1629	70	1489	131	1310	-9	-33	2	3	-9	-33	-21	-85	-16	-67	32	145	581	204	198	179	246	183	152	938	738	-9	-33
93	SY	1477	52	1603	89	1415	122	1261	4	19	3	19	2	10	-17	-60	-16	-69	1	27	447	114	160	173	168	172	107	656	578	2	10
94	CD	1473	19	1789	59	1565	112	1392	9	32	8	21	6	21	6	34	11	43	1	28	406	130	177	99	166	134	106	648	512	6	21
95	GE	1470	36	1672	68	1557	104	1436	-9	-24	-14	-39	-7	-28	-13	-43	8	34	-22	-58	201	82	101	18	62	99	40	242	289	-7	-28
96	LT	1467	47	1664	84	1300	150	1051	-3	-8	-2	0	0	6	-2	-2	-33	-119	-4	8	303	117	146	40	85	159	59	331	547	0	6
97	BH	1465	51	1640	112	1326	151	1084	-2	-3	4	12	0	7	-10	-31	-43	-151	-33	-125	478	148	126	204	158	191	129	575	644	0	7
98	EE	1460	31	1542	90	1336	173	1092	-7	-20	0	3	-4	-9	-11	-36	0	8	9	77	405	178	188	39	99	216	90	409	733	-4	-9
99	NS	1455	66	1486	83	1464	103	1429	-1	0	1	0	-1	0	-2	0	-2	1	-6	4	16	5	3	8	8	6	2	27	22	-1	0
100	HT	1446	41	1653	80	1398	129	1265	4	14	4	13	5	14	-4	-17	4	13	-11	-43	455	162	156	137	191	162	102	733	621	5	14
101	LV	1445	40	1576	75	1419	122	1295	-7	-28	-3	-12	-3	-10	-18	-65	-32	-125	-14	-48	342	139	156	47	104	160	78	429	573	-3	-10
101	TG	1445	54	1607	86	1448	129	1301	-2	-6	-10	-35	-11	-35	5	25	-7	-18	-20	-63	391	141	168	82	125	170	96	421	549	-11	-35
103	AO	1438	51	1627	81	1479	110	1397	7	24	-8	-27	1	-1	-10	-37	-2	-8	-32	-102	329	118	140	71	116	97	116	392	349	1	-1
104	CG	1437	34	1701	75	1499	123	1342	-2	-6	8	42	6	42	7	50	5	19	-1	36	369	145	144	80	144	141	84	544	495	6	42
105	MQ	1429	40	1565	74	1469	126	1331	3	6	0	-2	2	10	5	30	11	54	9	69	298	106	100	92	137	88	73	566	389	2	10
